,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk_x,preprocessed,pearson_x,MSE_x,dataset_language_y,unk_y,pearson_y,MSE_y,pearson_diff
130,ptbr,fasttext ,,CBOW,300,False,False,0.341,0.672,ptbr,True,0.347,0.668,-0.006
26,ptbr,word2vec ,,CBOW,1000,False,False,0.478,0.586,ptbr,True,0.485,0.581,-0.007
98,ptbr,word2vec ,,skip-gram,50,False,False,0.399,0.639,ptbr,True,0.409,0.633,-0.01
134,ptbr,fasttext ,,CBOW,100,False,False,0.334,0.676,ptbr,True,0.345,0.67,-0.011
138,ptbr,fasttext ,,CBOW,50,False,False,0.323,0.681,ptbr,True,0.335,0.675,-0.012
6,ptbr,word2vec ,,skip-gram,1000,False,False,0.475,0.589,ptbr,True,0.491,0.577,-0.016
34,ptbr,word2vec ,,skip-gram,300,False,False,0.467,0.594,ptbr,True,0.484,0.582,-0.017
58,ptbr,word2vec ,,skip-gram,100,False,False,0.444,0.61,ptbr,True,0.461,0.599,-0.017
2,ptbr,word2vec ,,skip-gram,600,False,False,0.475,0.588,ptbr,True,0.495,0.574,-0.02
106,ptbr,glove ,,,300,True,False,0.368,0.658,ptbr,False,0.392,0.644,-0.024
54,ptbr,wang2vec ,,CBOW,50,False,False,0.436,0.616,ptbr,True,0.461,0.599,-0.025
10,ptbr,wang2vec ,,CBOW,100,False,False,0.464,0.596,ptbr,True,0.49,0.578,-0.026
82,ptbr,wang2vec ,,skip-gram,50,False,False,0.408,0.634,ptbr,True,0.436,0.616,-0.028
114,ptbr,glove ,,,100,True,False,0.337,0.674,ptbr,False,0.369,0.657,-0.032
126,ptbr,glove ,,,50,True,False,0.317,0.684,ptbr,False,0.351,0.667,-0.034
50,ptbr,wang2vec ,,skip-gram,100,False,False,0.427,0.622,ptbr,True,0.464,0.596,-0.037
42,ptbr,wang2vec ,,CBOW,300,False,False,0.435,0.616,ptbr,True,0.476,0.588,-0.041
38,ptbr,wang2vec ,,skip-gram,1000,False,False,0.435,0.617,ptbr,True,0.479,0.586,-0.044
102,ptbr,glove ,,,1000,True,False,0.351,0.666,ptbr,False,0.396,0.642,-0.045
30,ptbr,wang2vec ,,skip-gram,300,False,False,0.439,0.614,ptbr,True,0.485,0.581,-0.046
14,ptbr,wang2vec ,,skip-gram,600,False,False,0.441,0.613,ptbr,True,0.488,0.579,-0.047
110,ptbr,glove ,,,600,True,False,0.343,0.671,ptbr,False,0.391,0.644,-0.048
94,ptbr,fasttext ,,skip-gram,50,True,False,0.258,0.71,ptbr,False,0.414,0.63,-0.156
86,ptbr,fasttext ,,skip-gram,100,True,False,0.274,0.704,ptbr,False,0.432,0.618,-0.158
70,ptbr,fasttext ,,skip-gram,600,True,False,0.276,0.703,ptbr,False,0.449,0.607,-0.173
66,ptbr,fasttext ,,skip-gram,300,True,False,0.278,0.703,ptbr,False,0.455,0.602,-0.177
46,ptbr,fasttext ,,skip-gram,1000,True,False,0.248,0.714,ptbr,False,0.472,0.591,-0.224
